Date,Lobbyist Name,Firm Name,Description,Amount,Payee Name,Payee City,Payee State,Payee Zip,Experts or Issues,Activity Type,Lobbyist Type,Activity Id,From Filing
07/31/2020,"Host Hotels and Resorts, Inc",,CHLA Advocacy Effort,6276.39,California Hotel and Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,a2e5c090-1adc-4d20-b6e1-1370c51b1ead,8faa61ab-208b-4cd9-85d9-d93b6835bc20
07/31/2020,HST Powell LLC,,San Francisco Cleaning and Disease Prevention,4357.14,California Hotel and Lodging Association,Sacramento,CA,85691,"Payment To Influence Municipal Decision
 Emergency Ordinance - Cleaning and Disease Prevention Standards in Tourist Hotels and Large Commercial Office Buildings",PaymentsToInfluence,expenditure,eeeae397-fc22-4878-881c-b4ea88866692,44108eb6-c273-4292-a8c3-b56d095f9807
07/31/2020,CA Hotel & Lodging Association,,"Public relations, research, outreach and consulting",16405.00,Singer Associates,San Francisco,CA,94108,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,d6e5c7ca-5144-4a1e-96f0-3c2b13a745a9,639d32aa-3a0d-490b-918d-6aa0d855d73b
07/30/2020,"Mission for All, LLC",,CANVASSING,3248.11,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,96583a68-c38c-4578-8ade-e54b5147d339,f4482aeb-57f0-4e42-b762-06426d6b282a
07/30/2020,RLJ Lodging Trust,,Payment to California Hotel & Lodging Association in connection with effort to influence San Francisco Cleaning Ordinance,15911.00,California Hotel & Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
Cleaning Ordinance",PaymentsToInfluence,expenditure,d15dfa4a-61ec-4882-b6d7-2aec8c3243d6,5dd36b3d-8279-4468-a524-ed67f901427c
07/30/2020,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,3fc52921-e780-42f5-98de-7f91df860de8,639d32aa-3a0d-490b-918d-6aa0d855d73b
07/29/2020,Hilton Worldwide Holdings Inc.,,Payment to California Hotel & Lodging Association in connection with effort to influence San Francisco Cleaning Ordinance,6600.00,California Hotel & Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,6cfef7d0-f881-49df-9682-a3727cd5131e,398d7723-ce66-45a8-856e-037b79c07ab3
07/27/2020,"Sunstone Hotel Investors, Inc.",,Payment to trade assocation,22454.00,California Hotel and Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
San Francisco Cleaning Ordinance",PaymentsToInfluence,expenditure,cd11e4b5-7517-4e86-b3f6-c2616096df95,6afe0e17-ac6e-42f1-bfbf-34ff37d76bda
07/24/2020,Park Hotels & Resorts Inc.,,Payment to California Hotel & Lodging Association in connection with effort to influence San Francisco Cleaning Ordinance,115207.00,California Hotel & Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,a5eb9734-8902-4534-98a6-a6f99c1ad485,d3f6c5a2-35bd-407b-9099-edfec839a01e
07/23/2020,"Mission for All, LLC",,CANVASSING,3252.28,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,b19ab2c4-a95e-4f8b-b1ed-428a057ff698,f4482aeb-57f0-4e42-b762-06426d6b282a
07/21/2020,HST GH San Francisco LLC,,San Francisco Cleaning and Disease Prevention Standards in Tourist Hotels and Large Commercial Office Buildings Efforts,18880.94,California Hotel & Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
Healthy Buildings Ordinance",PaymentsToInfluence,expenditure,9b34bfe7-24c0-4820-865b-349fe8ec88bd,967a226e-f6b2-4879-b21e-49863eb1192a
07/21/2020,CA Hotel & Lodging Association,,Digital advertising,3500.00,Plus Communications,Arlington,VA,22201,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,c641dd64-5146-46cd-bace-472ddf1e7b9a,639d32aa-3a0d-490b-918d-6aa0d855d73b
07/20/2020,"Sunstone Hotel Investors, Inc.",,Payment to trade assocation,3400.00,California Hotel and Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
San Francisco Cleaning Ordinance",PaymentsToInfluence,expenditure,3dc5573f-67ce-435c-bdbd-a4d276c67f9f,6afe0e17-ac6e-42f1-bfbf-34ff37d76bda
07/17/2020,HST GH San Francisco LLC,,CHLA Advocacy Efforts,2795.09,California Hotel & Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
Healthy Buildings Ordinance",PaymentsToInfluence,expenditure,736ef507-6a0c-4dfe-8276-f1b691e6fdf3,967a226e-f6b2-4879-b21e-49863eb1192a
07/16/2020,"Mission for All, LLC",,CANVASSING,4127.77,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,7cf142a7-1a09-443a-86ad-c69a668dbe06,f4482aeb-57f0-4e42-b762-06426d6b282a
07/16/2020,Hyatt Corporation,,San Francisco Cleaning and Disease Prevention Standards in Tourist Hotels and Large Commercial Office Buildings Efforts,24246.00,California Hotel & Lodging Association (CHLA),Sacramento,CA,95816,"Payment To Influence Municipal Decision
Cleaning and Disease Prevention Standards in Tourist Hotels and Large Commercial Office Buildings",PaymentsToInfluence,expenditure,e92a1010-ded3-48c6-9c14-b4404f1be5f9,574399cc-ac11-4cc6-ad31-4722b152f70a
07/16/2020,RLJ Lodging Trust,,Payment to California Hotel & Lodging Association in connection with effort to influence San Francisco Cleaning Ordinance,2400.00,California Hotel & Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
Cleaning Ordinance",PaymentsToInfluence,expenditure,ca6d37e2-80dc-4b88-83d9-b30d16598491,5dd36b3d-8279-4468-a524-ed67f901427c
07/13/2020,CA Hotel & Lodging Association,,Digital advertising,12800.00,Plus Communications,Arlington,VA,22201,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,b2edb225-7a08-49bd-8e59-07212e747a75,639d32aa-3a0d-490b-918d-6aa0d855d73b
07/09/2020,"Mission for All, LLC",,CANVASSING,3252.28,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,4ff8915d-a30b-45f8-a131-02e57d81da75,f4482aeb-57f0-4e42-b762-06426d6b282a
07/06/2020,CA Hotel & Lodging Association,,Consulting services,10000.00,Singer Associates,San Francisco,CA,94108,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,dc356ca3-b191-4451-a29f-093c941cefd3,639d32aa-3a0d-490b-918d-6aa0d855d73b
07/02/2020,"Mission for All, LLC",,CANVASSING,3252.28,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,f3579b0b-2085-4367-b6c4-8453ae3cc24a,f4482aeb-57f0-4e42-b762-06426d6b282a
07/02/2020,"Mission for All, LLC",,CONSULTING,4000.00,"ROMERO, ROXANNE",SAN FRANCISCO,CA,94127,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,3d614364-8199-4320-a989-0cffd5b92ee9,f4482aeb-57f0-4e42-b762-06426d6b282a
07/02/2020,"Mission for All, LLC",,CONSULTING,5000.00,"SALAZAR, MITCHELL",San Francisco,CA,94131,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,bd827bd8-cafc-4630-9dec-9058e282361b,f4482aeb-57f0-4e42-b762-06426d6b282a
07/01/2020,Park Hotels & Resorts Inc.,,Payment to California Hotel & Lodging Association in connection with effort to influence San Francisco Cleaning Ordinance,17300.00,California Hotel & Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,2c5958e8-709b-469f-a2fb-d581e161cb0f,d3f6c5a2-35bd-407b-9099-edfec839a01e
06/26/2020,"Mission for All, LLC",,CANVASSING,3252.28,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,5256af90-6f94-475f-8139-1f46b453c063,7b495106-325c-40da-a2a5-b075e56f5fa0
06/25/2020,Hyatt Corporation,,CHLA advocacy efforts relating to the Cleaning and Disease Prevention Standards in Tourist Hotels and Large Commercial Office Buildings,4200.00,California Hotel & Lodging Association (CHLA),Sacramento,CA,95816,"Payment To Influence Municipal Decision
Cleaning and Disease Prevention Standards in Tourist Hotels and Large Commercial Office Buildings",PaymentsToInfluence,expenditure,8ea8aa7d-bb10-4aee-aff0-93769ce9c5be,51071dd0-624a-4042-990c-e49d8f699e2f
06/18/2020,"Mission for All, LLC",,CANVASSING,4127.77,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,99592021-bea1-40f0-80e7-2d6294597d87,7b495106-325c-40da-a2a5-b075e56f5fa0
06/11/2020,"Mission for All, LLC",,CANVASSING,3252.28,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,b0a14261-115d-4a25-ba70-e4aa0afb81d9,7b495106-325c-40da-a2a5-b075e56f5fa0
06/04/2020,"Mission for All, LLC",,CANVASSING,3334.65,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,8a746438-a5f4-47d6-ba3d-fe20c616e46d,7b495106-325c-40da-a2a5-b075e56f5fa0
05/28/2020,"Mission for All, LLC",,CONSULTING,4000.00,"ROMERO, ROXANNE",SAN FRANCISCO,CA,94127,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,32038a96-6ec0-4b8a-90ab-207b974b7546,b44bdccc-2005-441d-863b-c6348a21b896
05/28/2020,"Mission for All, LLC",,CONSULTING,5000.00,"SALAZAR, MITCHELL",San Francisco,CA,94131,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,1b2b0c12-9d3f-402e-9b8e-5062a4a8c681,b44bdccc-2005-441d-863b-c6348a21b896
05/28/2020,"Mission for All, LLC",,CANVASSING,4067.57,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,a591da96-b55f-4c76-bf05-e676d9450c80,b44bdccc-2005-441d-863b-c6348a21b896
05/22/2020,"Mission for All, LLC",,CONSULTING,2500.00,"SALAZAR, MITCHELL",San Francisco,CA,94131,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,b8e01b43-85c1-402e-a45d-49e6179e2478,b44bdccc-2005-441d-863b-c6348a21b896
05/20/2020,"Mission for All, LLC",,CANVASSING,4718.00,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,8a5d0ca9-aff3-41a9-aa6f-2d2176726d5e,b44bdccc-2005-441d-863b-c6348a21b896
05/14/2020,"Mission for All, LLC",,CANVASSING,4535.33,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,55b851c9-50b9-4ee4-ab9f-9e121d9b56fa,b44bdccc-2005-441d-863b-c6348a21b896
05/07/2020,"Mission for All, LLC",,CANVASSING,4097.58,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,5bc26ce4-d3ad-4c9d-8143-a32601a476eb,b44bdccc-2005-441d-863b-c6348a21b896
04/30/2020,"Mission for All, LLC",,CONSULTING,4000.00,"ROMERO, ROXANNE",SAN FRANCISCO,CA,94127,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,a49e8627-44fd-4692-9e80-27ac0d7162bd,104ea6a5-beff-4b52-88c9-9db74b790712
04/30/2020,"Mission for All, LLC",,CONSULTING,5000.00,"SALAZAR, MITCHELL",San Francisco,CA,94131,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,2a33dc1e-430c-4257-b1a8-7f59c134906c,104ea6a5-beff-4b52-88c9-9db74b790712
04/30/2020,"Mission for All, LLC",,CANVASSING,4097.58,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,82fecc21-f48c-4f90-bdfb-0f946357e417,104ea6a5-beff-4b52-88c9-9db74b790712
04/23/2020,"Mission for All, LLC",,CANVASSING,4010.01,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,0c2f201f-e0bc-45f9-a9a2-09890028ad8f,104ea6a5-beff-4b52-88c9-9db74b790712
04/16/2020,"Mission for All, LLC",,CANVASSING,4885.49,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,f31f54ef-a213-4eae-a3f1-128dcd687a1e,104ea6a5-beff-4b52-88c9-9db74b790712
04/09/2020,"Mission for All, LLC",,CANVASSING,3871.25,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,186122e1-69cb-487c-8179-aff7c693db3e,104ea6a5-beff-4b52-88c9-9db74b790712
04/08/2020,"Mission for All, LLC",,CONSULTING,4000.00,"ROMERO, ROXANNE",SAN FRANCISCO,CA,94127,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,0b6bf05e-04d6-46c0-9b7d-3a9e000f3a20,104ea6a5-beff-4b52-88c9-9db74b790712
04/08/2020,"Mission for All, LLC",,CONSULTING,5000.00,"SALAZAR, MITCHELL",San Francisco,CA,94131,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,6775f5a1-c7f6-4014-8eb1-ce77df2771b7,104ea6a5-beff-4b52-88c9-9db74b790712
04/02/2020,"Mission for All, LLC",,CANVASSING,3871.25,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,f9300d97-5719-474f-ae99-401053e21ad5,104ea6a5-beff-4b52-88c9-9db74b790712
03/27/2020,"Mission for All, LLC",,CANVASSING,4010.01,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,60b7a817-231a-46b0-860a-8e6003e96035,2a881ed6-3b1a-4f33-95ad-5845a6fb8554
03/19/2020,"Mission for All, LLC",,CANVASSING,4929.26,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,00fd584f-bda5-48ce-8ae2-cc1bce13544a,2a881ed6-3b1a-4f33-95ad-5845a6fb8554
03/16/2020,"Mission for All, LLC",,CONSULTING,5000.00,"SALAZAR, MITCHELL",San Francisco,CA,94131,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,e41f8aab-517d-471e-ad61-ff86240d43ff,2a881ed6-3b1a-4f33-95ad-5845a6fb8554
03/16/2020,"Mission for All, LLC",,CONSULTING,4000.00,"ROMERO, ROXANNE",SAN FRANCISCO,CA,94127,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,d36e1c1f-d075-4d49-8f6b-93ddbd14bfd5,2a881ed6-3b1a-4f33-95ad-5845a6fb8554
03/13/2020,"Mission for All, LLC",,CANVASSING,4192.76,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,b0f80ad3-15d8-48ae-af4d-9c7d81c11182,2a881ed6-3b1a-4f33-95ad-5845a6fb8554
03/05/2020,"Mission for All, LLC",,CANVASSING,4116.12,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,53eea2d6-0884-4626-83dc-fe6ef90b7b9d,2a881ed6-3b1a-4f33-95ad-5845a6fb8554
02/27/2020,"Mission for All, LLC",,CANVASSING,4117.42,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,32b76e43-ddcf-4afc-97a7-99f176509e3c,d4266a86-0ba8-4a3a-9c0a-cb0c81c06a35
02/21/2020,"Mission for All, LLC",,CANVASSING,4984.28,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,66fc0a7f-1ba9-4935-b5b4-9a4b19012d93,d4266a86-0ba8-4a3a-9c0a-cb0c81c06a35
02/14/2020,"Mission for All, LLC",,CANVASSING,4173.58,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,4d343e19-6909-4cb5-a65f-5bdcab6c9f91,d4266a86-0ba8-4a3a-9c0a-cb0c81c06a35
02/07/2020,"Mission for All, LLC",,CANVASSING,4173.58,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,3aef6afb-eb99-42b7-b39a-3181aa90dc22,d4266a86-0ba8-4a3a-9c0a-cb0c81c06a35
02/06/2020,"Mission for All, LLC",,CONSULTING,5000.00,"SALAZAR, MITCHELL",San Francisco,CA,94131,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,236c4550-189d-41e5-82d1-ca19fdb6a92c,d4266a86-0ba8-4a3a-9c0a-cb0c81c06a35
02/06/2020,"Mission for All, LLC",,CONSULTING,4000.00,"ROMERO, ROXANNE",SAN FRANCISCO,CA,94127,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,fcbeb962-228e-4769-8221-c2900f7da594,d4266a86-0ba8-4a3a-9c0a-cb0c81c06a35
01/31/2020,"Mission for All, LLC",,CANVASSING,4169.41,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,3c75f519-42c2-47c4-89af-822b336e1b71,5225f00e-89e7-411e-8cd5-2eeae77d438d
01/27/2020,"Mission for All, LLC",,CANVASSING,4173.58,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,0cfcb984-3989-4be7-8a32-ea35941a3d41,5225f00e-89e7-411e-8cd5-2eeae77d438d
01/16/2020,"Mission for All, LLC",,CANVASSING,5256.95,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,16ef835f-3cfc-4aad-886b-88e3c08bdf7d,5225f00e-89e7-411e-8cd5-2eeae77d438d
01/09/2020,"Mission for All, LLC",,CANVASSING,3485.38,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,7d5e1dd4-944d-4b06-9c62-e79cf6694f6a,5225f00e-89e7-411e-8cd5-2eeae77d438d
01/07/2020,"Mission for All, LLC",,CONSULTING,4000.00,"ROMERO, ROXANNE",SAN FRANCISCO,CA,94127,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,2d4510a1-c69e-4e8e-87a0-23020794094f,5225f00e-89e7-411e-8cd5-2eeae77d438d
01/07/2020,"Mission for All, LLC",,CONSULTING,5000.00,"SALAZAR, MITCHELL",San Francisco,CA,94131,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,49741fe4-7f00-4286-adf6-2437d16761a5,5225f00e-89e7-411e-8cd5-2eeae77d438d
01/02/2020,"Mission for All, LLC",,CANVASSING,4173.58,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,dc569527-88d7-4d0d-8845-3e2c6b294488,5225f00e-89e7-411e-8cd5-2eeae77d438d
12/27/2019,"Mission for All, LLC",,CANVASSING,3990.80,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,fe68d9ad-6318-4fc3-a202-56e86256962e,6d5515b7-066a-4e79-a7b7-10456378e674
12/19/2019,"Mission for All, LLC",,CANVASSING,3990.80,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,c198030c-a01e-4236-864b-f44c49061f89,6d5515b7-066a-4e79-a7b7-10456378e674
12/13/2019,"Mission for All, LLC",,CANVASSING,4814.94,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,f7a57f1b-17a0-48e6-b50e-963284815e57,6d5515b7-066a-4e79-a7b7-10456378e674
12/09/2019,"Mission for All, LLC",,CONSULTING,5000.00,"SALAZAR, MITCHELL",San Francisco,CA,94131,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,1344e472-ee57-4117-817d-b38a232012a4,6d5515b7-066a-4e79-a7b7-10456378e674
12/09/2019,"Mission for All, LLC",,CONSULTING,4000.00,"ROMERO, ROXANNE",SAN FRANCISCO,CA,94127,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,081b4f18-0314-45a0-8b33-53189f13cbda,6d5515b7-066a-4e79-a7b7-10456378e674
12/06/2019,"Mission for All, LLC",,CANVASSING,3990.80,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,bf7e3c7a-3f10-4820-ad72-0cf0e962cf44,6d5515b7-066a-4e79-a7b7-10456378e674
11/27/2019,"Mission for All, LLC",,CANVASSING,3986.63,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,e6c6c5fd-badc-4185-bef2-cf7ef322d9f3,f66a3c07-ff19-4896-a7cc-f3fcfdbbb275
11/21/2019,"Mission for All, LLC",,CANVASSING,4814.94,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,7c403984-1e5e-4e61-99ed-2f73080ef5dd,f66a3c07-ff19-4896-a7cc-f3fcfdbbb275
11/14/2019,"Mission for All, LLC",,CANVASSING,4814.94,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,20fb99e3-0476-4172-88ab-cffa93cd8fa1,f66a3c07-ff19-4896-a7cc-f3fcfdbbb275
11/08/2019,"Mission for All, LLC",,CONSULTING,5000.00,"SALAZAR, MITCHELL",San Francisco,CA,94131,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,153fc32c-50fb-4490-bc47-0ea98551c518,f66a3c07-ff19-4896-a7cc-f3fcfdbbb275
11/08/2019,"Mission for All, LLC",,CONSULTING,4000.00,"ROMERO, ROXANNE",SAN FRANCISCO,CA,94127,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,a0f7e09c-cfae-44cc-b3c7-b7180727a37a,f66a3c07-ff19-4896-a7cc-f3fcfdbbb275
11/07/2019,"Mission for All, LLC",,CANVASSING,4052.60,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,7a07d081-390f-4f97-95e2-f28ac1c957ec,f66a3c07-ff19-4896-a7cc-f3fcfdbbb275
10/31/2019,"Mission for All, LLC",,CANVASSING,3924.90,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,908a9dac-30c9-4cea-8219-0b3306c44618,e9f9bb52-8fb1-43f3-8d6c-79db2c90b388
